region,subregion,station,abbreviation,elevation,month,precip,avg precip,pct of avg,year
TULARE LAKE,KAWEAH RIVER,Three Rivers PH No 1,3RV,1140,Oct-Sep,16.52,21.71,76.0,1987
TULARE LAKE,KAWEAH RIVER,Terminus Dam,TRM,752,Oct-Sep,9.46,14.2,67.0,1987
TULARE LAKE,KAWEAH RIVER,Lemon Cove,LMC,513,Oct-Sep,8.5,14.03,61.0,1987
TULARE LAKE,TULE RIVER,Hossack,HSS,7100,Oct-Sep,24.4,42.15,58.0,1987
TULARE LAKE,TULE RIVER,Eagle Creek,EGL,6700,Oct-Sep,23.1,37.68,61.0,1987
TULARE LAKE,TULE RIVER,Rogers Camp,RGC,6200,Oct-Sep,21.6,34.72,62.0,1987
TULARE LAKE,TULE RIVER,Mountain Home,MNH,5400,Oct-Sep,23.7,41.77,57.0,1987
TULARE LAKE,TULE RIVER,Success Dam,SCC,692,Oct-Sep,7.86,11.15,70.0,1987
TULARE LAKE,KERN RIVER,Kern R Intake No. 3,KR3,3650,Oct-Sep,10.96,18.35,60.0,1987
TULARE LAKE,KERN RIVER,Glenville Fs,GLV,3140,Oct-Sep,14.46,18.42,79.0,1987
TULARE LAKE,KERN RIVER,Kern PH 3,KP3,2703,Oct-Sep,8.51,12.06,71.0,1987
TULARE LAKE,KERN RIVER,Isabella Dam,ISB,2635,Oct-Sep,,10.84,,1987
NORTH LAHONTAN,SURPRISE VALLEY - HONEY LAKE,Cedarville,CDV,4670,Oct-Sep,7.14,12.9,55.0,1987
NORTH LAHONTAN,SURPRISE VALLEY - HONEY LAKE,Fort Bidwell,FBW,4500,Oct-Sep,13.34,15.31,87.0,1987
NORTH LAHONTAN,SURPRISE VALLEY - HONEY LAKE,Doyle,DYL,4240,Oct-Sep,4.83,10.35,47.0,1987
NORTH LAHONTAN,SURPRISE VALLEY - HONEY LAKE,Susanville,SSN,4148,Oct-Sep,7.16,14.53,49.0,1987
NORTH LAHONTAN,LAKE TAHOE - TRUCKEE RIVER,Meyers Fire Station,MIS,6400,Oct-Sep,11.22,33.0,34.0,1987
NORTH LAHONTAN,LAKE TAHOE - TRUCKEE RIVER,Sagehen Creek,SGH,6337,Oct-Sep,15.45,30.28,51.0,1987
NORTH LAHONTAN,LAKE TAHOE - TRUCKEE RIVER,Tahoe City (Nws),TAC,6230,Oct-Sep,14.37,30.98,46.0,1987
NORTH LAHONTAN,LAKE TAHOE - TRUCKEE RIVER,Truckee RS (Obs),TKE,6020,Oct-Sep,13.21,31.3,42.0,1987
NORTH LAHONTAN,LAKE TAHOE - TRUCKEE RIVER,Donner Mem St Park,DMS,5937,Oct-Sep,16.5,40.32,41.0,1987
NORTH LAHONTAN,LAKE TAHOE - TRUCKEE RIVER,Boca,BCA,5575,Oct-Sep,10.32,22.5,46.0,1987
NORTH LAHONTAN,CARSON - WALKER RIVERS,Bridgeport R S,BDG,6470,Oct-Sep,5.2,9.37,55.0,1987
NORTH LAHONTAN,CARSON - WALKER RIVERS,Grover Hot Springs,GHS,5820,Oct-Sep,9.57,28.23,34.0,1987
NORTH LAHONTAN,CARSON - WALKER RIVERS,Markleeville,MKV,5530,Oct-Sep,,19.04,,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Ellery Lake,ERY,9645,Oct-Sep,14.2,24.46,58.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,South Lake,SLK,9600,Oct-Sep,8.62,18.14,48.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Lake Sabrina,SBN,9065,Oct-Sep,8.2,16.77,49.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Gem  Lake,GLK,9054,Oct-Sep,9.2,20.7,44.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Crooked Creek (Long Valley),CRC,6800,Oct-Sep,4.88,10.17,48.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Bishop,BIS,4140,Oct-Sep,2.82,5.66,50.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Independence,IPN,3950,Oct-Sep,1.66,5.14,32.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Cottonwood Gates,CTT,3775,Oct-Sep,3.96,6.65,60.0,1987
SOUTH LAHONTAN,MONO LAKE - OWENS RIVER,Haiwee,HWE,3774,Oct-Sep,,6.54,,1987
SOUTH LAHONTAN,DEATH VALLEY,Death Valley,DTV,-194,Oct-Sep,0.81,1.97,41.0,1987
SOUTH LAHONTAN,MOJAVE DESERT,Lake Arrowhead,ARR,5205,Oct-Sep,23.74,42.42,56.0,1987
SOUTH LAHONTAN,MOJAVE DESERT,Mountain Pass,MTP,4730,Oct-Sep,8.56,9.82,87.0,1987
SOUTH LAHONTAN,MOJAVE DESERT,Fairmont,FMT,3060,Oct-Sep,5.97,15.68,38.0,1987
COLORADO RIVER,COLORADO DESERT,Twentynine Palms,29P,1975,Oct-Sep,1.75,4.16,42.0,1987
COLORADO RIVER,COLORADO DESERT,Needles,NDL,480,Oct-Sep,3.81,4.44,86.0,1987
COLORADO RIVER,COLORADO DESERT,Blythe,BLY,390,Oct-Sep,3.08,3.52,88.0,1987
COLORADO RIVER,COLORADO DESERT,Imperial Valley,IMP,-64,Oct-Sep,3.24,2.73,119.0,1987
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,Oct-Sep,71.06,92.33,77.0,1988
NORTH COAST,SMITH RIVER,Crescent City 1 N,CCC,40,Oct-Sep,54.79,70.46,78.0,1988
NORTH COAST,KLAMATH RIVER,Tule Lake,TLL,4035,Oct-Sep,8.63,10.54,82.0,1988
